gameid,gamename,nratings,gamerank
1353.0,Time's Up!,4536.0,440.0
201921.0,Tiny Epic Quest,4523.0,598.0
9203.0,Wings of War: Famous Aces,4517.0,878.0
113997.0,Tajemnicze Domostwo,4516.0,487.0
157526.0,Viceroy,4516.0,824.0
126792.0,Myrmes,4512.0,455.0
171233.0,The Big Book of Madness,4500.0,710.0
32125.0,Felicity: The Cat in the Sack,4499.0,1218.0
66505.0,The Speicherstadt,4476.0,658.0
170416.0,Vast: The Crystal Caverns,4474.0,507.0
168584.0,Love Letter: Batman,4462.0,479.0
19600.0,Antike,4460.0,641.0
119.0,Kingdoms,4440.0,1158.0
43868.0,The Adventurers: The Temple of Chac,4430.0,1221.0
124.0,Primordial Soup,4411.0,761.0
128271.0,Ginkgopolis,4410.0,349.0
167400.0,Ashes: Rise of the Phoenixborn,4408.0,453.0
27710.0,Catan Dice Game,4406.0,5819.0
202408.0,Adrenaline,4397.0,593.0
102104.0,Star Fluxx,4393.0,1847.0
