gameid,gamename,nratings,gamerank
176734,The Manhattan Project: Energy Empire,3679,208
6411,Blokus 3D,3673,982
37628,Haggis,3671,768
205359,Star Wars: Destiny,3670,334
1231,Bausack,3662,939
35570,Tinners' Trail,3654,525
175621,Epic Card Game,3654,1576
113401,Timeline: Events,3649,1031
528,ZÈRTZ,3642,542
52461,Legacy: The Testament of Duke de Crecy,3642,605
2386,Chinese Checkers,3639,17102
132372,Guildhall,3637,815
181530,Runebound (Third Edition),3636,396
232832,Century: Golem Edition,3633,267
22825,Tide of Iron,3630,670
192458,51st State: Master Set,3629,279
35497,Fauna,3628,727
3685,Hammer of the Scots,3626,353
,,,
17025,Friday the 13th,3614,1596
256,Mississippi Queen,3608,1768
9625,Struggle of Empires,3603,389
149155,Dead Man's Draw,3596,974
65515,Nuns on the Run,3592,1447
150999,Valley of the Kings,3588,688
,,,
986,Babel,3567,1173
39339,Android,3563,1132
193042,Junk Art,3562,399
19777,Indonesia,3557,194
18866,Shear Panic,3555,1745
230080,Majesty: For the Realm,3547,746
139976,Cthulhu Wars,3537,236
1403,Turn the Tide,3534,1018
129948,The Palaces of Carrara,3525,604
148319,Tragedy Looper,3520,587
244228,Reef,3507,602
134352,Two Rooms and a Boom,3504,784
4396,Odin's Ravens,3501,1217
34084,Witch's Brew,3500,758
37196,Sorry! Sliders,3491,1660
71671,Yggdrasil,3489,730
169255,A Game of Thrones: The Card Game (Second Edition),3489,358
,,,
158275,Marvel Dice Masters: Uncanny X-Men,3480,583
2163,Space Hulk,3477,483
119591,Rialto,3469,853
16747,Tumblin-Dice,3466,643
153065,Linko!,3461,759
,,,
38159,Ultimate Werewolf: Ultimate Edition,3444,789
,,,
,,,
72225,CO₂,3430,616
55600,Shipyard,3427,477
207336,Honshū,3427,760
118063,Android: Infiltration,3411,1400
,,,
3307,Wallenstein (first edition),3405,408
5048,Candy Land,3402,17166
154809,Nippon,3396,265
29678,Munchkin Quest,3395,4285
144553,The Builders: Middle Ages,3395,1491
232918,Fallout,3391,934
25021,Sekigahara: The Unification of Japan,3390,143
229220,Santa Maria,3386,337
36235,The Duke,3380,454
,,,
151004,Smash Up: Science Fiction Double Feature,3366,557
4491,Cave Troll,3357,1722
233398,Endeavor: Age of Sail,3355,146
193558,The Oracle of Delphi,3351,516
6887,Hearts,3346,1661
42487,Lost Cities: The Board Game,3343,1039
256226,Azul: Stained Glass of Sintra,3338,368
24417,Factory Fun,3334,973
189932,Tyrants of the Underdark,3332,229
551,Battle Cry,3331,694
131646,Merchant of Venus (second edition),3318,649
18803,Black Stories,3317,2705
115,I'm the Boss!,3316,1044
,,,
21920,Leonardo da Vinci,3310,1102
17392,Here I Stand,3306,200
,,,
119506,Freedom: The Underground Railroad,3300,342
1339,Dungeon!,3298,3763
131325,Timeline: Diversity,3278,1050
95527,Madeira,3274,326
249,Lifeboats,3272,1369
220520,Caverna: Cave vs Cave,3269,573
15985,Blood Bowl: Living Rulebook,3267,239
106662,Power Grid: The First Sparks,3259,999
5894,Twister,3257,17147
